# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq
GCF_000009925.1	PRJNA58195			reference genome	295405	817	Bacteroides fragilis YCH46	strain=YCH46		latest	Complete Genome	Major	Full	2004/09/16	ASM992v1		GCA_000009925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000009925.1_ASM992v1	
GCF_000025985.1	PRJNA224116	SAMEA1705957		na	272559	817	Bacteroides fragilis NCTC 9343			latest	Complete Genome	Major	Full	2005/03/03	ASM2598v1		GCA_000025985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000025985.1_ASM2598v1	
GCF_000157015.1	PRJNA224116	SAMN02463689	ABZX00000000.1	na	457424	817	Bacteroides fragilis 3_1_12	strain=3_1_12		latest	Scaffold	Major	Full	2009/02/05	ASM15701v1	Broad Institute	GCA_000157015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000157015.1_ASM15701v1	
GCF_000210835.1	PRJNA224116	SAMEA3138381		na	862962	817	Bacteroides fragilis 638R	strain=638R		latest	Complete Genome	Major	Full	2010/07/23	ASM21083v1		GCA_000210835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000210835.1_ASM21083v1	
GCF_000263115.1	PRJNA224116	SAMN02463925	AGXM00000000.1	na	997882	817	Bacteroides fragilis CL07T00C01	strain=CL07T00C01		latest	Scaffold	Major	Full	2012/09/18	Bact_frag_CL07T00C01_V1	Broad Institute	GCA_000263115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000263115.1_Bact_frag_CL07T00C01_V1	
GCF_000269525.1	PRJNA224116	SAMN02463923	AKBY00000000.1	na	997880	817	Bacteroides fragilis CL05T00C42	strain=CL05T00C42		latest	Contig	Major	Full	2012/06/15	PB_Bact_frag_CL05T00C42_V1	Broad Institute	GCA_000269525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000269525.1_PB_Bact_frag_CL05T00C42_V1	
GCF_000273095.1	PRJNA224116	SAMN02463921	AGXK00000000.1	na	997878	817	Bacteroides fragilis CL03T00C08	strain=CL03T00C08		latest	Scaffold	Major	Full	2012/07/23	Bact_frag_CL03T00C08_V1	Broad Institute	GCA_000273095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000273095.1_Bact_frag_CL03T00C08_V1	
GCF_000273115.1	PRJNA224116	SAMN02463922	AGXL00000000.1	na	997879	817	Bacteroides fragilis CL03T12C07	strain=CL03T12C07		latest	Scaffold	Major	Full	2012/07/23	Bact_frag_CL03T12C07_V1	Broad Institute	GCA_000273115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000273115.1_Bact_frag_CL03T12C07_V1	
GCF_000273135.1	PRJNA224116	SAMN02463924	AGXP00000000.1	na	997881	817	Bacteroides fragilis CL05T12C13	strain=CL05T12C13		latest	Scaffold	Major	Full	2012/07/23	Bact_frag_CL05T12C13_V1	Broad Institute	GCA_000273135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000273135.1_Bact_frag_CL05T12C13_V1	
GCF_000273155.1	PRJNA224116	SAMN02463926	AGXN00000000.1	na	997883	817	Bacteroides fragilis CL07T12C05	strain=CL07T12C05		latest	Scaffold	Major	Full	2012/07/23	Bact_frag_CL07T12C05_V1	Broad Institute	GCA_000273155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000273155.1_Bact_frag_CL07T12C05_V1	
